Heart rate variability (ms),Sleep Stage,Group Label,Stage,Group Type
67.0,REM Group,Above Normal,REM,Above Normal
74.0,REM Group,Above Normal,REM,Above Normal
72.0,REM Group,Normal,REM,Normal
65.0,REM Group,Above Normal,REM,Above Normal
34.0,REM Group,Above Normal,REM,Above Normal
34.0,REM Group,Above Normal,REM,Above Normal
45.0,REM Group,Above Normal,REM,Above Normal
70.0,REM Group,Above Normal,REM,Above Normal
64.0,REM Group,Normal,REM,Normal
62.0,REM Group,Normal,REM,Normal
57.0,REM Group,Above Normal,REM,Above Normal
70.0,REM Group,Normal,REM,Normal
52.0,REM Group,Above Normal,REM,Above Normal
38.0,REM Group,Above Normal,REM,Above Normal
67.0,REM Group,Normal,REM,Normal
58.0,REM Group,Below Normal,REM,Below Normal
63.0,REM Group,Normal,REM,Normal
72.0,REM Group,Below Normal,REM,Below Normal
74.0,REM Group,Below Normal,REM,Below Normal
32.0,REM Group,Above Normal,REM,Above Normal
30.0,REM Group,Normal,REM,Normal
60.0,REM Group,Above Normal,REM,Above Normal
62.0,REM Group,Below Normal,REM,Below Normal
75.0,REM Group,Below Normal,REM,Below Normal
65.0,REM Group,Above Normal,REM,Above Normal
65.0,REM Group,Above Normal,REM,Above Normal
61.0,REM Group,Normal,REM,Normal
39.0,REM Group,Below Normal,REM,Below Normal
61.0,REM Group,Normal,REM,Normal
28.0,REM Group,Below Normal,REM,Below Normal
28.0,REM Group,Below Normal,REM,Below Normal
61.0,REM Group,Above Normal,REM,Above Normal
69.0,REM Group,Normal,REM,Normal
59.0,REM Group,Normal,REM,Normal
49.0,REM Group,Below Normal,REM,Below Normal
29.0,REM Group,Below Normal,REM,Below Normal
46.0,REM Group,Above Normal,REM,Above Normal
37.0,REM Group,Normal,REM,Normal
59.0,REM Group,Normal,REM,Normal
80.0,REM Group,Above Normal,REM,Above Normal
59.0,REM Group,Above Normal,REM,Above Normal
58.0,REM Group,Above Normal,REM,Above Normal
68.0,REM Group,Above Normal,REM,Above Normal
68.0,REM Group,Above Normal,REM,Above Normal
67.0,REM Group,Normal,REM,Normal
68.0,REM Group,Normal,REM,Normal
74.0,REM Group,Above Normal,REM,Above Normal
64.0,REM Group,Above Normal,REM,Above Normal
62.0,REM Group,Above Normal,REM,Above Normal
64.0,REM Group,Normal,REM,Normal
53.0,REM Group,Normal,REM,Normal
67.0,REM Group,Above Normal,REM,Above Normal
56.0,REM Group,Normal,REM,Normal
62.0,REM Group,Normal,REM,Normal
63.0,REM Group,Above Normal,REM,Above Normal
66.0,REM Group,Below Normal,REM,Below Normal
67.0,REM Group,Above Normal,REM,Above Normal
67.0,REM Group,Above Normal,REM,Above Normal
51.0,REM Group,Normal,REM,Normal
38.0,REM Group,Normal,REM,Normal
60.0,REM Group,Normal,REM,Normal
